date,max_temp,min_temp
2026-08-29,24.3,22.7
2026-08-30,24.7,24.3
2026-08-31,31.6,24.4
2026-09-01,33.1,24.1
2026-09-02,33.6,23.6
2026-09-03,32.1,22.8
2026-09-04,32.0,23.3
